clo_id,user_id,class_id,activity_id,type,cri_id,submission_id,submitted_at,spent_time,due_date,level,point
42979,18912,66577,821078,ASM,1050662,1370740,2021-09-14 17:27:37,,,3,55.0
42979,18912,66577,821080,QUZ,1050666,1370731,2021-09-14 17:26:25,0:00:09,,3,0.0
42979,18912,66578,821123,ASM,1050787,1480573,2021-09-29 23:14:01,,,4,78.0
42979,18912,66578,821123,ASM,1050787,1480573,2021-09-29 23:14:01,,,4,80.0
42979,18912,66578,824571,QUZ,1054261,1375048,2021-09-15 14:20:50,0:00:07,,3,0.0
42979,18912,66583,1183612,ASM,1430565,1816440,2021-12-22 13:48:47,,,3,60.0
42981,18912,66583,1268229,QUZ,1517280,1823307,2022-01-11 13:22:54,0:00:27,,1,0.0
42981,18912,66583,1268229,QUZ,1517280,1823307,2022-01-11 13:22:54,0:00:27,,3,0.0
42981,18912,66583,1268230,QUZ,1517287,1823308,2022-01-11 13:25:33,0:00:16,,1,0.0
42981,18912,66583,1268230,QUZ,1517287,1823308,2022-01-11 13:25:33,0:00:16,,3,0.0
42979,18913,66577,821078,ASM,1050662,1370737,2021-09-14 17:27:07,,,3,60.0
42979,18913,66577,821080,QUZ,1050666,1370735,2021-09-14 17:26:54,0:00:05,,3,0.0
42981,18913,66583,1268229,QUZ,1517280,1823309,2022-01-11 13:27:12,0:00:19,,1,0.0
26704,22199,56784,755258,ASM,981572,1294513,2021-08-28 12:23:27,,2021-08-28 12:32:59,2,2.0
26700,62239,55653,845629,QUZ,1092582,1510999,2021-10-02 17:12:02,0:11:50,2021-10-02 17:15:00,3,0.0
26700,62241,55653,845629,QUZ,1092582,1510991,2021-10-02 17:12:34,0:12:22,2021-10-02 17:15:00,3,0.0
26700,62245,55653,845629,QUZ,1092582,1511108,2021-10-02 17:12:39,0:11:34,2021-10-02 17:15:00,3,0.0
26700,62246,55653,845629,QUZ,1092582,1511080,2021-10-02 17:12:37,0:12:02,2021-10-02 17:15:00,3,0.0
26700,62253,55653,845629,QUZ,1092582,1511096,2021-10-02 17:03:19,0:02:27,2021-10-02 17:15:00,3,0.0
26704,62262,56784,755258,ASM,981572,1294884,2021-08-28 12:28:33,,2021-08-28 12:32:59,3,7.0
26704,62297,56770,755255,ASM,981569,1294444,2021-08-28 12:22:50,,2021-08-28 12:32:59,3,7.0
26704,62796,56770,755255,ASM,981569,1294723,2021-08-28 12:25:45,,2021-08-28 12:32:59,3,7.0
