cri_levels_id,cri_id,level,flag,activity_id
17247369,3702669,3,1,3385254
17247379,3702671,3,1,3385263
17247384,3702672,3,1,3385264
17247766,3702762,3,1,3393354
17247771,3702763,3,1,3393355
17247776,3702764,3,1,3393356
17247801,3702769,3,1,3393371
17247806,3702770,3,1,3393372
17247811,3702771,3,1,3393373
17247816,3702772,3,1,3393374
17353620,3725017,3,1,3414683
17353628,3725020,3,1,3414685
17356346,3726113,4,1,3415051
17356351,3726114,4,1,3415051
17356356,3726115,4,1,3415052
17356361,3726116,4,1,3415052
17356368,3726118,4,1,3415054
17356368,3726118,4,1,3415055
17356368,3726118,4,1,3415056
17356368,3726118,4,1,3415057
17356448,3726162,4,1,3415058
17356453,3726163,4,1,3415059
17356458,3726164,4,1,3415060
17356458,3726164,4,1,3415062
17356458,3726164,4,1,3415061
17356522,3726208,4,1,3415063
17356536,3726211,3,1,3415064
17356587,3726241,4,1,3415070
17862897,3832187,3,1,3518141
17862902,3832188,3,1,3518142
17862922,3832192,3,1,3518146
17862927,3832193,3,1,3518147
17862932,3832194,3,1,3518148
17862937,3832195,3,1,3518149
17862947,3832197,3,1,3518151
17862952,3832198,3,1,3518152
17862957,3832199,3,1,3518153
17991350,3858815,3,1,3544235
17991355,3858816,3,1,3544236
17991365,3858818,3,1,3544238
17991375,3858820,3,1,3544240
18033275,3867449,4,1,3552861
18033284,3867451,3,1,3552861
18077496,3876885,3,1,3393363
18077522,3876895,3,1,3385261
18120219,3885812,3,1,3570441
18120224,3885813,3,1,3570442
18162969,3894719,3,1,3579210
18162979,3894721,3,1,3579212
18162994,3894724,3,1,3579215
18162999,3894725,3,1,3579216
18250954,3913052,3,1,3597167
18382552,3940414,3,1,3393364
18469648,3958409,3,1,3641921
18469653,3958410,3,1,3641922
18469660,3958412,3,1,3641924
18469665,3958413,3,1,3641925
18558142,3976950,3,1,3659816
18558200,3976976,3,1,3659820
19262784,4123599,3,1,3803407
19262789,4123600,3,1,3803408
19351621,4142072,3,1,3393365
19616307,4197001,3,1,3875411
19616317,4197003,3,1,3875413
19616332,4197006,3,1,3875416
19616337,4197007,3,1,3875417
19616343,4197009,3,1,3875418
19616353,4197011,3,1,3875420
19661257,4206289,3,1,3393362
19661317,4206312,3,1,3393353
19931179,4262873,3,1,3518150
20420053,4364190,3,1,4038291
20420053,4364190,3,1,4239592
20420083,4364212,3,1,4038292
20420083,4364212,3,1,4239593
20420083,4364212,3,1,4282110
20597838,4401027,3,1,4074647
21583887,4605188,3,1,4276517
21809783,4651901,3,1,4147791
21809979,4651948,3,1,4147792
21854843,4661197,3,1,4147789
21854898,4661216,3,1,4147790
22084011,4708739,3,1,4378750
22132406,4718737,3,1,4147796
22174726,4727458,3,1,4147795
22174782,4727482,3,1,4147793
22174792,4727488,3,1,4147794
22403339,4774924,3,1,4444176
22403344,4774925,3,1,4444177
22403590,4774986,3,1,4147798
22449391,4784437,3,1,4147799
22449620,4784506,3,1,4147800
22495126,4793936,3,1,4147797
